Table 1
Obesity Dataset ,,,,
Attributes,Values,,,
Sex,1. Male (712),,,
,2. Female (898),,,
Age,Values in integers,,,
Height,Values in integers (cm),,,
Overweight/Obese Families,1. Yes (266),,,
,2. No (1344),,,
Consumption of Fast Food,1. Yes (436),,,
,2. No (1174),,,
Frequency of Consuming Vegetables,1. Rarely (400),,,
,2. Sometimes (708),,,
,3. Always (502),,,
Number of Main Meals Daily,1. 1-2 (444),,,
,2. 3 (928),,,
,3. 3+ (238),,,
Food Intake Between Meals,1. Rarely (346),,,
,2. Sometimes (564),,,
,3. Usually (417),,,
,4. Always (283),,,
Smoking,1. Yes (492),,,
,2. No (1118),,,
Liquid Intake Daily,1. amount smaller than one liter (456),,,
,2. Within the range of 1 to 2 liters (523),,,
,3. In excess of 2 liters (631),,,
Calculation Of Calorie Intake,1. Yes (286),,,
,2. No (1324),,,
Physical Exercise,1. No physical activity (206),,,
,2. In the range of 1-2 days (290),,,
,3. In the range of 3-4 days (370),,,
,4. In the range of 5-6 days (358),,,
,5. 6+ days (386),,,
Schedule Dedicated to Technology,1. Between 0 and 2 hours (382),,,
,2. Between 3 and 5 hours (826),,,
,3. Exceeding five hours (402),,,
Type of Transportation Used,1. Automobile (660),,,
,2. Motorbike (94),,,
,3. Bike (116),,,
,4. Public transportation (602),,,
,5. Walking (138),,,
Class,1. Underweight (73),,,
,2. Normal (658),,,
,3. Overweight (592),,,
,4. Obesity (287),,,
